gvkey	year	gvkey	year	Y	K	L	M	VA	i	naics_4digit
013135	2001	013135	2001	4817.891769320341	1047.809356810599	23.6	3219.1464117178402	1598.7453576025007	110.2737570799245	3334
013135	2002	013135	2002	4681.160249929966	1031.733960507151	22.8	3164.881185827559	1516.2790641024078	77.52022644705464	3334
013135	2003	013135	2003	4931.346786682152	1069.2670914372466	22.3	3393.597802942315	1537.7489837398373	94.27477517585255	3334
013135	2004	013135	2004	5338.015883348522	1272.0619702819981	23.2	3756.533595294173	1581.4822880543488	90.58505219572575	3334
013163	1998	013163	1998	131.8430039264062	6.921929388363997	0.173	104.19230815519083	27.650695771215375	1.8726147865456186	3256
013163	1999	013163	1999	93.48852547479503	9.268586310255024	0.136	84.21270816782338	9.275817306971653	0.557555226198038	3256
013163	2000	013163	2000	80.21342247364362	7.958385311322926	0.113	63.71956801234251	16.493854461301105	0.3304722999954101	3256
013163	2001	013163	2001	93.488149389514	7.942020053571006	0.114	72.30848765649426	21.179661733019753	1.7659513590844063	3256
013163	2002	013163	2002	97.35807983715934	8.320982426423884	0.121	76.11990133438879	21.238178502770555	1.818761965539247	3256
013163	2003	013163	2003	94.76883503689164	9.81548629916923	0.117	79.95509104447305	14.813743992418592	1.381000237130049	3256
013163	2004	013163	2004	92.34682140027095	11.21884610088585	0.111	76.3521241788298	15.994697221441164	0.687757909215956	3256
013163	2005	013163	2005	94.09710869260591	9.031762059944004	0.12	73.68111541874913	20.41599327385679	0.41192201518288474	3256
013163	2006	013163	2006	110.6540386778099	8.978978289805848	0.134	82.45251493968998	28.20152373811991	0.392239561366512	3256
013163	2007	013163	2007	195.12500669200708	7.505579399141631	0.144	146.1711911772579	48.95381551474919	0.6303748424062894	3256
013163	2008	013163	2008	128.50270652818423	7.101480369019524	0.148	158.7955471394962	-30.292840611311952	4.005810714001432	3256
013163	2009	013163	2009	153.696	8.925336438923393	0.154	133.818558	19.877442000000002	1.217	3256
013163	2010	013163	2010	142.65961964985135	8.768872807781797	0.161	137.97396441885707	4.68565523099429	0.14037360976136484	3256
013163	2011	013163	2011	127.22446525212612	8.654381915147654	0.156	135.55642985997767	-8.331964607851562	1.8914316329264094	3256
013163	2012	013163	2012	103.41766085706358	9.652	0.135	92.53078417030292	10.886876686760662	0.903188329757432	3256
013176	2000	013176	2000	3.5929551839796035	0.6730176135974231	0.028	2.553599762367415	1.0393554216121885	0.049775444868038504	3333
013176	2001	013176	2001	5.880983023840167	0.6976228663824017	0.052	3.3212134583563153	2.5597695654838515	0.20565494920435134	3333
013176	2002	013176	2002	5.2458497253449945	0.8918809351236471	0.026	2.9517532855072295	2.294096439837765	0.13818619475338223	3333
